practice_code,region,registered_patients,gp_fte
B82019,"North East and Yorkshire",4214,2.24
B82021,"North East and Yorkshire",9909,9.91
B82022,"North East and Yorkshire",5674,5.28
B82023,"North East and Yorkshire",6263,4.00
B82025,"North East and Yorkshire",21181,14.47
B82026,"North East and Yorkshire",32247,32.39
B82027,"North East and Yorkshire",14103,9.04
B82029,"North East and Yorkshire",3234,2.17
B82030,"North East and Yorkshire",5867,6.67
B82031,"North East and Yorkshire",11038,7.51
B82032,"North East and Yorkshire",12302,7.14
B82033,"North East and Yorkshire",10961,9.45
B82034,"North East and Yorkshire",6431,3.33
B82035,"North East and Yorkshire",3607,2.73
B82036,"North East and Yorkshire",7731,8.40
B82037,"North East and Yorkshire",8849,6.59
B82038,"North East and Yorkshire",24730,15.52
B82041,"North East and Yorkshire",15900,13.18
B82042,"North East and Yorkshire",8590,7.09
B82044,"North East and Yorkshire",9440,6.51
B82045,"North East and Yorkshire",4122,1.89
B82046,"North East and Yorkshire",3109,2.20
B82047,"North East and Yorkshire",19177,5.47
B82049,"North East and Yorkshire",8130,7.84
B82050,"North East and Yorkshire",21503,15.15
B82053,"North East and Yorkshire",15214,7.20
B82054,"North East and Yorkshire",16028,13.59
B82057,"North East and Yorkshire",7487,9.89
B82059,"North East and Yorkshire",11302,6.67
B82060,"North East and Yorkshire",12918,10.33
B82061,"North West",7458,7.04
B82063,"North East and Yorkshire",9540,6.17
B82064,"North East and Yorkshire",3587,6.03
B82066,"North East and Yorkshire",9943,7.34
B82067,"North East and Yorkshire",8384,6.12
B82068,"North East and Yorkshire",3634,1.78
B82069,"North East and Yorkshire",7531,4.40
B82071,"North East and Yorkshire",7454,5.31
B82072,"North East and Yorkshire",5043,1.92
B82073,"North East and Yorkshire",10811,4.30
B82074,"North East and Yorkshire",18638,17.31
B82075,"North East and Yorkshire",9593,10.59
B82077,"North East and Yorkshire",6132,5.52
B82078,"North East and Yorkshire",6154,6.76
B82079,"North East and Yorkshire",3715,2.49
B82080,"North East and Yorkshire",18854,13.72
B82081,"North East and Yorkshire",7233,8.88
B82083,"North East and Yorkshire",44823,36.04
B82086,"North East and Yorkshire",5073,4.69
B82088,"North East and Yorkshire",10524,4.71
B82091,"North East and Yorkshire",7690,4.93
B82097,"North East and Yorkshire",11444,7.92
B82098,"North East and Yorkshire",26596,19.76
B82100,"North East and Yorkshire",8462,7.71
B82101,"North East and Yorkshire",5244,5.04
B82104,"North East and Yorkshire",8519,3.76
B82105,"North East and Yorkshire",9404,5.75
B82106,"North East and Yorkshire",4582,0.69
B82609,"North East and Yorkshire",4118,4.24
B82619,"North East and Yorkshire",1765,0.89
B82622,"North East and Yorkshire",1519,1.73
B82628,"North East and Yorkshire",4300,2.31
B83002,"North East and Yorkshire",5488,6.45
B83005,"North East and Yorkshire",7104,2.48
B83008,"North East and Yorkshire",20077,11.44
B83009,"North East and Yorkshire",15845,11.57
B83010,"North East and Yorkshire",10159,5.75
B83012,"North East and Yorkshire",11079,6.02
B83014,"North East and Yorkshire",13604,17.32
B83015,"North East and Yorkshire",8791,2.84
B83016,"North East and Yorkshire",8795,8.13
B83018,"North East and Yorkshire",12572,6.20
B83019,"North East and Yorkshire",7067,9.46
B83020,"North East and Yorkshire",18296,5.87
B83022,"North East and Yorkshire",9765,9.15
B83025,"North East and Yorkshire",4462,1.89
B83026,"North East and Yorkshire",5905,2.26
B83028,"North East and Yorkshire",10877,4.07
B83029,"North East and Yorkshire",10118,3.59
B83031,"North East and Yorkshire",3985,1.87
B83032,"North East and Yorkshire",4339,1.00
B83033,"North East and Yorkshire",86643,47.65
B83034,"North East and Yorkshire",7079,1.88
B83035,"North East and Yorkshire",15747,8.53
B83037,"North East and Yorkshire",10031,8.40
B83038,"North East and Yorkshire",18715,18.90
B83039,"North East and Yorkshire",24241,17.97
B83041,"North East and Yorkshire",14915,13.50
B83042,"North East and Yorkshire",8813,10.13
B83045,"North East and Yorkshire",12561,9.04
B83051,"North East and Yorkshire",10696,1.78
B83052,"North East and Yorkshire",24417,8.34
B83054,"North East and Yorkshire",6330,2.60
B83055,"North East and Yorkshire",32153,29.97
B83056,"North East and Yorkshire",8450,5.80
B83058,"North East and Yorkshire",8715,3.94
B83062,"North East and Yorkshire",8966,13.84
B83063,"North East and Yorkshire",19821,21.26
B83064,"North East and Yorkshire",11562,7.67
B83067,"North East and Yorkshire",7793,5.74
B83604,"North East and Yorkshire",4610,1.33
B83611,"North East and Yorkshire",11739,2.56
B83614,"North East and Yorkshire",9732,2.27
B83620,"North East and Yorkshire",3436,4.85
B83622,"North East and Yorkshire",4235,2.21
B83624,"North East and Yorkshire",17079,19.41
B83626,"North East and Yorkshire",6479,2.00
B83627,"North East and Yorkshire",3632,1.12
B83628,"North East and Yorkshire",10000,0.90
B83629,"North East and Yorkshire",3183,2.27
B83641,"North East and Yorkshire",9988,8.75
B83642,"North East and Yorkshire",4504,0.89
B83653,"North East and Yorkshire",7774,4.85
B83657,"North East and Yorkshire",6026,11.01
B83659,"North East and Yorkshire",3892,2.00
B83661,"North East and Yorkshire",2961,1.44
B84001,"North East and Yorkshire",10289,8.52
B84003,"North East and Yorkshire",7835,6.22
B84004,"North East and Yorkshire",18502,10.36
B84006,"North East and Yorkshire",16208,7.49
B84007,"North East and Yorkshire",10702,8.43
B84008,"North East and Yorkshire",16156,10.80
B84009,"North East and Yorkshire",11542,10.29
B84010,"North East and Yorkshire",10376,9.38
B84011,"North East and Yorkshire",11048,7.56
B84012,"North East and Yorkshire",28671,25.00
B84013,"North East and Yorkshire",9214,5.72
B84014,"North East and Yorkshire",5351,6.27
B84016,"North East and Yorkshire",11339,5.74
B84019,"North East and Yorkshire",17034,12.29
B84021,"North East and Yorkshire",8798,4.87
B84612,"North East and Yorkshire",9008,1.73
B84613,"North East and Yorkshire",10251,4.24
B84618,"North East and Yorkshire",8346,1.48
B84623,"North East and Yorkshire",5014,2.23
B85001,"North East and Yorkshire",6902,2.03
B85002,"North East and Yorkshire",4541,3.42
B85004,"North East and Yorkshire",6112,0.43
B85005,"North East and Yorkshire",6763,3.75
B85006,"North East and Yorkshire",15372,14.24
B85008,"North East and Yorkshire",6255,1.97
B85009,"North East and Yorkshire",8676,6.58
B85010,"North East and Yorkshire",6962,3.52
B85012,"North East and Yorkshire",10815,9.11
B85014,"North East and Yorkshire",9459,3.94
B85015,"North East and Yorkshire",8601,3.04
B85016,"North East and Yorkshire",10525,6.45
B85018,"North East and Yorkshire",9357,2.92
B85019,"North East and Yorkshire",17302,7.81
B85020,"North East and Yorkshire",6686,7.84
B85021,"North East and Yorkshire",9011,4.00
B85022,"North East and Yorkshire",7883,4.31
B85023,"North East and Yorkshire",6272,2.95
B85024,"North East and Yorkshire",9426,6.59
B85025,"North East and Yorkshire",12231,14.45
B85026,"North East and Yorkshire",8009,10.28
B85027,"North East and Yorkshire",10467,4.47
B85028,"North East and Yorkshire",17160,1.48
B85030,"North East and Yorkshire",9421,4.61
B85031,"North East and Yorkshire",6928,3.63
B85032,"North East and Yorkshire",5955,3.61
B85033,"North East and Yorkshire",5571,3.41
B85036,"North East and Yorkshire",8471,4.03
B85037,"North East and Yorkshire",5773,4.14
B85038,"North East and Yorkshire",5894,1.07
B85041,"North East and Yorkshire",15812,5.00
B85042,"North East and Yorkshire",9032,11.45
B85044,"North East and Yorkshire",2975,1.31
B85048,"North East and Yorkshire",4545,1.07
B85051,"North East and Yorkshire",7276,2.41
B85054,"North East and Yorkshire",10081,8.69
B85055,"North East and Yorkshire",12758,3.36
B85058,"North East and Yorkshire",3030,2.27
B85059,"North East and Yorkshire",8285,2.17
B85060,"North East and Yorkshire",2447,3.20
B85061,"North East and Yorkshire",9586,4.05
B85062,"North East and Yorkshire",14877,6.37
B85606,"North East and Yorkshire",4629,1.67
B85610,"North East and Yorkshire",10827,5.07
B85611,"North East and Yorkshire",3738,1.60
B85612,"North East and Yorkshire",4511,1.57
B85614,"North East and Yorkshire",6842,1.00
B85619,"North East and Yorkshire",3148,1.91
B85620,"North East and Yorkshire",2794,0.72
B85623,"North East and Yorkshire",3412,0.78
B85634,"North East and Yorkshire",3679,0.93
B85636,"North East and Yorkshire",4296,2.28
B85640,"North East and Yorkshire",3557,2.48
B85641,"North East and Yorkshire",4418,3.11
B85645,"North East and Yorkshire",2487,1.33
B85646,"North East and Yorkshire",6309,8.49
B85650,"North East and Yorkshire",5008,1.47
B85652,"North East and Yorkshire",7693,2.75
B85655,"North East and Yorkshire",2725,0.32
B85659,"North East and Yorkshire",1828,1.23
B85660,"North East and Yorkshire",6649,4.72
B86002,"North East and Yorkshire",15287,6.93
B86003,"North East and Yorkshire",17135,11.16
B86004,"North East and Yorkshire",8417,5.37
B86005,"North East and Yorkshire",5656,2.13
B86006,"North East and Yorkshire",15224,9.25
B86007,"North East and Yorkshire",9066,9.81
B86008,"North East and Yorkshire",19262,14.74
B86009,"North East and Yorkshire",8191,4.78
B86010,"North East and Yorkshire",9958,4.19
B86011,"North East and Yorkshire",9873,6.69
B86012,"North East and Yorkshire",19503,14.06
B86013,"North East and Yorkshire",20669,9.23
B86014,"North East and Yorkshire",13467,6.16
B86015,"North East and Yorkshire",13999,9.87
B86016,"North East and Yorkshire",18370,17.94
B86017,"North East and Yorkshire",17018,11.05
B86018,"North East and Yorkshire",7640,6.61
B86019,"North East and Yorkshire",20123,10.06
B86020,"North East and Yorkshire",11178,5.87
B86022,"North East and Yorkshire",14219,6.99
B86024,"North East and Yorkshire",9375,9.72
B86025,"North East and Yorkshire",10547,5.74
B86028,"North East and Yorkshire",5172,3.05
B86029,"North East and Yorkshire",5723,6.01
B86030,"North East and Yorkshire",11233,7.47
B86032,"North East and Yorkshire",18860,13.95
B86033,"North East and Yorkshire",11855,14.42
B86034,"North East and Yorkshire",6816,5.91
B86035,"North East and Yorkshire",9426,3.71
B86036,"North East and Yorkshire",11120,9.07
B86038,"North East and Yorkshire",10959,4.82
B86039,"North East and Yorkshire",9578,4.72
B86041,"North East and Yorkshire",7949,5.51
B86042,"North East and Yorkshire",15769,6.86
B86043,"North East and Yorkshire",10251,1.64
B86044,"North East and Yorkshire",28433,24.27
B86048,"North East and Yorkshire",14534,11.36
B86049,"North East and Yorkshire",10338,7.70
B86050,"North East and Yorkshire",20446,13.08
B86051,"North East and Yorkshire",14947,17.40
B86052,"North East and Yorkshire",11797,7.18
B86054,"North East and Yorkshire",6356,4.73
B86055,"North East and Yorkshire",6397,6.00
B86057,"North East and Yorkshire",19666,16.08
B86059,"North East and Yorkshire",16216,14.75
B86060,"North East and Yorkshire",10939,6.68
B86061,"North East and Yorkshire",5315,1.55
B86062,"North East and Yorkshire",8290,6.08
B86064,"North East and Yorkshire",16849,8.60
B86066,"North East and Yorkshire",14374,9.75
B86067,"North East and Yorkshire",16958,12.53
B86068,"North East and Yorkshire",7803,8.66
B86069,"North East and Yorkshire",14166,5.08
B86070,"North East and Yorkshire",4575,2.19
B86071,"North East and Yorkshire",8529,3.20
B86075,"North East and Yorkshire",13224,11.89
B86081,"North East and Yorkshire",14937,8.23
B86086,"North East and Yorkshire",7399,7.73
B86089,"North East and Yorkshire",5991,2.36
B86092,"North East and Yorkshire",6819,3.10
B86093,"North East and Yorkshire",5796,6.93
B86094,"North East and Yorkshire",4942,2.05
B86096,"North East and Yorkshire",5664,2.06
B86100,"North East and Yorkshire",7766,7.91
B86101,"North East and Yorkshire",3492,1.00
B86103,"North East and Yorkshire",4652,1.56
B86104,"North East and Yorkshire",17038,5.50
B86106,"North East and Yorkshire",7606,7.39
B86108,"North East and Yorkshire",6521,4.37
B86109,"North East and Yorkshire",7864,8.12
B86110,"North East and Yorkshire",43798,15.79
B86623,"North East and Yorkshire",5361,1.64
B86642,"North East and Yorkshire",3071,1.22
B86643,"North East and Yorkshire",3765,2.23
B86648,"North East and Yorkshire",2408,1.33
B86655,"North East and Yorkshire",2092,0.99
B86658,"North East and Yorkshire",10907,6.07
B86666,"North East and Yorkshire",5583,1.96
B86667,"North East and Yorkshire",8113,4.07
B86669,"North East and Yorkshire",2837,6.14
B86672,"North East and Yorkshire",6830,6.27
B86673,"North East and Yorkshire",7321,3.60
B86675,"North East and Yorkshire",4752,1.83
B86678,"North East and Yorkshire",2894,1.60
B87001,"North East and Yorkshire",9694,14.64
B87002,"North East and Yorkshire",10725,14.07
B87003,"North East and Yorkshire",10894,9.51
B87004,"North East and Yorkshire",11593,6.21
B87005,"North East and Yorkshire",11594,7.66
B87006,"North East and Yorkshire",10837,3.90
B87007,"North East and Yorkshire",15543,22.78
B87008,"North East and Yorkshire",13524,13.76
B87009,"North East and Yorkshire",6283,5.77
B87011,"North East and Yorkshire",13229,11.73
B87012,"North East and Yorkshire",9681,10.19
B87013,"North East and Yorkshire",14382,9.23
B87015,"North East and Yorkshire",7622,3.32
B87016,"North East and Yorkshire",24545,9.24
B87017,"North East and Yorkshire",27732,23.41
B87018,"North East and Yorkshire",11578,13.18
B87019,"North East and Yorkshire",7300,2.00
B87020,"North East and Yorkshire",13728,10.26
B87021,"North East and Yorkshire",12854,3.33
B87022,"North East and Yorkshire",8942,4.18
B87025,"North East and Yorkshire",8386,3.06
B87026,"North East and Yorkshire",14585,7.19
B87027,"North East and Yorkshire",14001,9.12
B87028,"North East and Yorkshire",10991,12.21
B87030,"North East and Yorkshire",30464,17.61
B87031,"North East and Yorkshire",22043,15.61
B87032,"North East and Yorkshire",8075,6.89
B87033,"North East and Yorkshire",5465,2.00
B87036,"North East and Yorkshire",4111,1.00
B87039,"North East and Yorkshire",14967,13.02
B87042,"North East and Yorkshire",5632,0.65
B87044,"North East and Yorkshire",2453,1.00
B87602,"North East and Yorkshire",3485,0.96
B87604,"North East and Yorkshire",2788,0.89
C81001,Midlands,11473,10.78
C81002,Midlands,12361,17.99
C81003,Midlands,10035,7.31
C81004,Midlands,10341,6.32
C81005,Midlands,16928,13.89
C81006,Midlands,25941,9.22
C81007,Midlands,11816,8.93
C81008,Midlands,9768,2.93
C81009,Midlands,21436,10.12
C81010,Midlands,13688,17.36
C81012,Midlands,15922,12.21
C81013,Midlands,4664,2.93
C81014,Midlands,11811,7.24
C81015,Midlands,12171,10.04
C81016,Midlands,8687,8.02
C81017,Midlands,9034,7.02
C81018,Midlands,9013,6.85
C81020,Midlands,10978,9.76
C81021,Midlands,15036,6.88
C81022,Midlands,4066,1.87
C81023,Midlands,7982,4.27
C81025,Midlands,10345,10.00
C81026,Midlands,6500,2.20
C81027,Midlands,8139,8.74
C81028,Midlands,7333,10.63
C81029,Midlands,17302,11.73
C81030,Midlands,8969,12.26
C81031,Midlands,9443,8.50
C81032,Midlands,13853,7.52
C81033,Midlands,16172,12.80
C81034,Midlands,11227,10.05
C81035,Midlands,12176,6.83
C81036,Midlands,5111,3.30
C81037,Midlands,10506,9.07
C81038,Midlands,12486,8.91
C81039,Midlands,3617,2.44
C81040,Midlands,8204,3.79
C81041,Midlands,11884,10.63
C81042,Midlands,13115,5.27
C81044,Midlands,8539,10.85
C81045,Midlands,13147,7.31
C81046,Midlands,4698,1.33
C81047,Midlands,12055,16.31
C81048,Midlands,11071,6.59
C81049,Midlands,9716,9.08
C81050,Midlands,9549,6.00
C81051,Midlands,27372,15.53
C81052,Midlands,7193,1.73
C81053,Midlands,10828,13.87
C81054,Midlands,35187,24.50
C81055,Midlands,4775,4.33
C81056,Midlands,6619,1.51
C81057,Midlands,10503,4.85
C81058,Midlands,8827,9.57
C81059,Midlands,6165,7.31
C81060,Midlands,10850,4.27
C81061,Midlands,17951,10.51
C81062,Midlands,8975,6.88
C81063,Midlands,9627,8.19
C81064,Midlands,12690,8.95
C81065,Midlands,9052,4.73
C81066,Midlands,11989,5.93
C81067,Midlands,9734,7.20
C81068,Midlands,12376,7.97
C81069,Midlands,13547,12.50
C81070,Midlands,3898,2.35
C81071,Midlands,12806,6.10
C81072,Midlands,30333,13.34
C81073,Midlands,12709,10.32
C81074,Midlands,5612,0.51
C81075,Midlands,5209,0.60
C81080,Midlands,8154,3.48
C81081,Midlands,20315,11.88
C81082,Midlands,3397,1.72
C81083,Midlands,16761,13.31
C81084,Midlands,20567,10.72
C81086,Midlands,8139,6.43
C81089,Midlands,6142,1.55
C81091,Midlands,8478,2.27
C81092,Midlands,5681,6.85
C81094,Midlands,8087,7.75
C81095,Midlands,4932,2.25
C81096,Midlands,5700,2.21
C81097,Midlands,6107,3.28
C81099,Midlands,10737,7.11
C81101,Midlands,8328,5.91
C81106,Midlands,7239,5.33
C81108,Midlands,15470,6.00
C81110,Midlands,11986,5.32
C81113,Midlands,6502,4.47
C81114,Midlands,13531,12.99
C81115,Midlands,5064,1.84
C81118,Midlands,8426,3.28
C81604,Midlands,4647,2.92
C81611,Midlands,2485,0.16
C81615,Midlands,2301,2.63
C81616,Midlands,5351,1.83
C81634,Midlands,4645,3.65
C81638,Midlands,3918,4.71
C81640,Midlands,3751,1.12
C81647,Midlands,4174,2.02
C81649,Midlands,7873,6.37
C81652,Midlands,4967,1.52
C81653,Midlands,4537,1.36
C81655,Midlands,3704,1.79
C81658,Midlands,7697,6.67
C81662,Midlands,8468,4.29
C82001,Midlands,25371,15.09
C82002,Midlands,10956,9.27
C82003,Midlands,11590,9.15
C82005,Midlands,11085,11.12
C82007,Midlands,10608,11.68
C82008,Midlands,8530,2.24
C82009,Midlands,29224,12.15
C82010,Midlands,14991,11.67
C82011,Midlands,12555,11.09
C82012,Midlands,11862,10.80
C82013,Midlands,13254,12.07
C82014,Midlands,18089,17.23
C82016,Midlands,10960,5.26
C82017,Midlands,15753,9.73
C82018,Midlands,14053,5.56
C82019,Midlands,5944,1.52
C82020,Midlands,21021,5.46
C82021,Midlands,7649,2.13
C82022,Midlands,7313,6.37
C82024,Midlands,20275,13.41
C82025,Midlands,10802,9.07
C82026,Midlands,8307,6.27
C82027,Midlands,7568,3.17
C82028,Midlands,7254,3.76
C82030,Midlands,6921,5.64
C82031,Midlands,14874,11.52
C82032,Midlands,7449,3.52
C82033,Midlands,11680,7.90
C82034,Midlands,9858,4.95
C82035,Midlands,8028,8.85
C82037,Midlands,10479,6.63
C82038,Midlands,37006,20.30
C82039,Midlands,11045,8.92
C82040,Midlands,9158,8.47
C82041,Midlands,12938,7.97
C82042,Midlands,12715,11.17
C82043,Midlands,11165,9.12
C82044,Midlands,9458,4.47
C82045,Midlands,8133,3.12
C82046,Midlands,17383,10.29
C82047,Midlands,10692,3.68
C82048,Midlands,4917,8.99
C82050,Midlands,14058,4.42
C82051,Midlands,11937,4.93
C82052,Midlands,3749,2.21
C82053,Midlands,11050,5.64
C82054,Midlands,12184,7.07
C82055,Midlands,14467,9.27
C82056,Midlands,14034,15.92
C82059,Midlands,1890,0.73
C82060,Midlands,4208,1.92
C82061,Midlands,14999,13.13
C82062,Midlands,8975,4.27
C82063,Midlands,12519,11.16
C82064,Midlands,12347,11.16
C82066,Midlands,16979,16.85
C82067,Midlands,8875,7.96
C82068,Midlands,12401,10.44
C82070,Midlands,10648,10.05
C82071,Midlands,14089,12.69
C82072,Midlands,8489,3.57
C82073,Midlands,14734,6.29
C82075,Midlands,10871,8.35
C82076,Midlands,6945,5.01
C82077,Midlands,12881,2.96
C82078,Midlands,12112,13.87
C82079,Midlands,6958,4.08
C82080,Midlands,4763,2.45
C82082,Midlands,5512,1.56
C82084,Midlands,3651,1.08
C82086,Midlands,10614,7.57
C82088,Midlands,10358,6.60
C82091,Midlands,9679,1.96
C82092,Midlands,4696,1.00
C82093,Midlands,12580,6.70
C82094,Midlands,6871,2.88
C82095,Midlands,9061,4.71
C82096,Midlands,10097,8.92
C82097,Midlands,2738,0.91
C82098,Midlands,7298,5.63
C82099,Midlands,4623,1.81
C82100,Midlands,6063,7.79
C82102,Midlands,4957,2.77
C82107,Midlands,7931,2.64
C82109,Midlands,5118,4.65
C82111,Midlands,17342,3.23
C82112,Midlands,9612,1.47
C82114,Midlands,2503,2.84
C82116,Midlands,5089,1.89
C82119,Midlands,3284,1.73
C82120,Midlands,3827,1.49
C82121,Midlands,14865,11.03
C82124,Midlands,25162,14.14
C82600,Midlands,6243,0.99
C82610,Midlands,6610,4.40
C82611,Midlands,6838,3.40
C82614,Midlands,4598,0.85
C82620,Midlands,2355,1.40
C82624,Midlands,8498,3.09
C82627,Midlands,7818,5.89
C82628,Midlands,3540,0.75
C82631,Midlands,7168,4.25
C82634,Midlands,6083,3.99
C82639,Midlands,10627,3.24
C82642,Midlands,9854,3.73
C82643,Midlands,14218,7.80
C82644,Midlands,4988,2.67
C82649,Midlands,5653,1.25
C82650,Midlands,5336,2.53
C82651,Midlands,3814,2.05
C82653,Midlands,1935,0.65
C82656,Midlands,2912,1.76
C82659,Midlands,2977,4.53
C82660,Midlands,7137,1.07
C82662,Midlands,8509,3.39
C82667,Midlands,8078,2.74
C82669,Midlands,4113,1.68
C82671,Midlands,8051,2.11
C82676,Midlands,7222,2.24
C82680,Midlands,4952,0.64
C83001,Midlands,29138,11.76
C83002,Midlands,9137,3.86
